BeerID,Name,BrewerID,BrewerName,OverallPctl,StylePctl,BeerStyleName,Alcohol,IBU,Description
259923,U Tř\u00ED Rů\u017E\u00ED Tmav\u00E1 Rů\u017Ee (Dark Rose),14625,Pivovar U Tř\u00ED Rů\u017E\u00ED,null,null,Dunkel/Tmavu00FD,6.4,null,rnrnHeavy special dark beer with a higher bitterness taste and tones af chocolate-flavored roasted barley. Beer is brewed from five kinds of malt and two kinds of hops.Mohutnu00E9 tmavu00E9 speciu00E1lnu00ED pivo s vyu0161u0161u00ED hořkostu00ED
259924,Weiss-B\u00E4r,12014,Schneble-Br\u00E4u,null,null,Wheat Ale,0,null,
259925,Winemakers Goulburn Valley Series Pink Lady,19362,Winemakers Cider Co,null,null,Cider,5,null,The sun dappled orchards of Goulburn Valley are renowned for producing the Australian apples the inspired our delicious ciders. Tropical fruit flavours offset the soft acidity of Pink Lady apples for a sweet fruit taste balanced with fine
259926,Niemisbyg\u00E5rd Jyrki Siideri,19227,Niemisbyg\u00E5rd,null,null,Cider,5.5,null,Kevyesti makeutettu aito omenasiiderirnAinesosat: Omenamehu
259927,Grolsch Radler ,114,Grolsche Bierbrouwerij Ned. (SABMiller),9.907816879,34.15725593,Fruit Beer/Radler,2,null,
259928,White Pony The Oracle  BA Cognac Remy Martin 2014,16181,White Pony Microbirrificio,85.5489129,45.19863007,Barley Wine,0,null,
259929,White Pony Black Sheep BA Bourbon 2014,16181,White Pony Microbirrificio,94.77656714,47.53764447,Imperial Stout,11,null,
259930,White Pony The Oracle BA Sassicaia\/Glenmorangie,16181,White Pony Microbirrificio,92.05688537,62.73880972,Barley Wine,11.5,null,
259931,White Pony The Crow Imperial Stout  ,16181,White Pony Microbirrificio,96.64834324,59.62179826,Imperial Stout,14,null,
259932,Meteor Wendelinus Tenebris,1749,Meteor,20.03846727,3.96625086,Abbey Dubbel,6,null,Tasty and full of characteru2026 rnA dark brown beer showing a great range of complex aromas. Enticing toffee and roasted cofffee notes on the nose give way to a creamy but suprisingly well balanced and easy drinking beer. Shows hints of chocolate and black coffee on the palate. u000BWendelinus Tenebris: a great balance between sweetness and character.rnrnSavoureuse et pleine de caractu00E8re
259933,Meteor Wendelinus Rossa,1749,Meteor,8.329007424,31.07100207,Fruit Beer/Radler,6,null,An aromatic and fruit-packed beer yo be enjoyed on every occasionu2026 rnThis original beer show bright red hues in the glass and attractive bitter sweet red fruits aromas on the palate. Freshly crushed blackcurrant
259934,Sch\u00F6fferhofer Zitrone Weizen-Mix,1408,Binding-Brauerei (Oetker Group),null,null,Fruit Beer/Radler,2.5,null,
259935,Stadin Wild Yeast American Double IPA,2638,Stadin Panimo,62.31781061,14.95947725,Imperial/Double IPA,7.5,80,
259936,Two Roses XP366,12830,Two Roses,null,null,Golden Ale/Blond Ale,4.2,null,Pale
259937,Naylors Dragon Slayer,6082,Naylors,null,null,English Pale Ale,4.3,null,An EPA to celebrate St. Georges Day.
259938,Quaff Bros Amberdextrous,11191,Quaff Bros,44.22197156,8.473089113,American Strong Ale,8.2,null,u201CAmberdextrousu201D is named after being equally adept when it comes to both Bourbon and beer
259940,Jamesport Highland Apple Strong,2136,Jamesport Brewing Company,null,null,American Strong Ale,0,null,
259941,To \u00D8l Music Non Stop Techno Pop,12119,To \u00D8l,82.59985196,97.91949426,Pilsener,4.5,null,A bright
259942,CAP \/ Dugges BelgoStout,16529,CAP Brewery,88.3831597,32.19866764,Imperial Stout,12,null,200 ltr of the regular imperial stout refermented with saison-yeast at Dugges.
